State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±)
North Dakota,McKenzie County,Rural area,2.3%,1.4%
Kansas,Johnson County,Metro area,2.3%,0.3%
Colorado,Park County,Metro area,2.3%,1.1%
South Dakota,Clark County,Rural area,2.2%,1.5%
Texas,Crane County,Rural area,2.2%,2.0%
Nebraska,Perkins County,Rural area,2.2%,1.3%
Wyoming,Washakie County,Rural area,2.2%,1.7%
Colorado,San Miguel County,Rural area,2.2%,1.2%
Nebraska,Banner County,Small town,2.1%,3.0%
North Dakota,Burke County,Rural area,2.1%,1.2%
Texas,Donley County,Rural area,2.1%,1.4%
Indiana,Hamilton County,Metro area,2.1%,0.3%
Virginia,Falls Church city,Metro area,2.1%,1.9%
Kansas,Pawnee County,Rural area,2.1%,1.6%
Texas,Oldham County,Metro area,2.0%,1.7%
Tennessee,Williamson County,Metro area,1.9%,0.5%
Virginia,Fluvanna County,Metro area,1.9%,0.9%
South Dakota,Hamlin County,Small town,1.8%,0.8%
Nevada,Eureka County,Small town,1.8%,2.3%
Montana,Daniels County,Rural area,1.8%,1.3%
South Dakota,Hanson County,Small town,1.7%,0.9%
Colorado,Douglas County,Metro area,1.7%,0.3%
Kansas,Comanche County,Rural area,1.7%,1.4%
Utah,Wasatch County,Small town,1.6%,0.8%
Texas,Sherman County,Rural area,1.6%,1.5%
Wyoming,Johnson County,Rural area,1.6%,1.5%
South Dakota,Harding County,Rural area,1.6%,1.2%
Texas,Armstrong County,Metro area,1.6%,1.7%
Wyoming,Teton County,Small town,1.5%,1.3%
Montana,Fallon County,Rural area,1.5%,1.8%
New Mexico,Harding County,Rural area,1.5%,1.9%
Utah,Summit County,Small town,1.4%,0.5%
Utah,Kane County,Rural area,1.4%,1.1%
Kansas,Ness County,Rural area,1.3%,1.0%
Idaho,Teton County,Small town,1.3%,0.8%
Texas,Terrell County,Rural area,1.2%,1.9%
Kansas,Grant County,Rural area,1.2%,1.0%
Colorado,Pitkin County,Small town,1.1%,0.8%
South Dakota,Faulk County,Rural area,0.9%,0.8%
Virginia,Poquoson city,Metro area,0.9%,0.8%
North Dakota,Steele County,Rural area,0.9%,0.9%
Kansas,Gray County,Rural area,0.7%,0.6%
Wyoming,Sublette County,Rural area,0.7%,0.7%
Nebraska,Keya Paha County,Rural area,0.6%,2.1%
Utah,Morgan County,Metro area,0.5%,0.6%
Montana,Petroleum County,Rural area,0.5%,1.5%
Montana,McCone County,Rural area,0.4%,0.5%
Idaho,Camas County,Small town,0.3%,0.6%
Wyoming,Crook County,Small town,0.3%,0.3%
Hawaii,Kalawao County,Rural area,0.0%,38.7%
Nebraska,Blaine County,Rural area,0.0%,5.5%
Nebraska,Hooker County,Rural area,0.0%,3.3%
North Dakota,Billings County,Small town,0.0%,3.3%
Texas,Roberts County,Small town,0.0%,4.5%
